Ref,Val,Package,PosX,PosY,Rot,Side
"R5","RES_47K_0603_SMD","RES_SMD_0603",132.816600,-109.219900,270.000000,top
"R6","RES_768K_0603_SMD","RES_SMD_0603",130.124200,-93.802200,0.000000,top
"R7","RES_24K9_0603_SMD","RES_SMD_0603",130.048000,-95.427800,180.000000,top
"R8","RES_750K_0603_SMD","RES_SMD_0603",133.883400,-94.437200,270.000000,top
"R9","RES_10K_0603_SMD","RES_SMD_0603",133.121400,-96.697800,180.000000,top
"R10","RES_47K_0603_SMD","RES_SMD_0603",132.410200,-94.411800,90.000000,top
"R11","CSNL1206FT3L00","RES_SMD_1206",141.125400,-101.549200,180.000000,top
"R12","RES_1R2_0805_SMD","RES_SMD_0805",126.644400,-91.262200,270.000000,top
"R13","RES_1R2_0805_SMD","RES_SMD_0805",127.254000,-113.182400,90.000000,top
"R22","RES_10K_0603_SMD","RES_SMD_0603",127.508000,-105.968800,180.000000,top
"R23","RES_10K_0603_SMD","RES_SMD_0603",126.365000,-104.444800,180.000000,top
"R27","RES_100K_0603_SMD","RES_SMD_0603",120.751600,-101.396800,90.000000,top
"R28","RES_62K_0402_SMD","RES_SMD_0402",171.119800,-111.480600,270.000000,top
"R29","RES_51K_0402_SMD","RES_SMD_0402",170.154600,-111.937800,270.000000,top
"R30","RES_47K_0603_SMD","RES_SMD_0603",167.995600,-107.391200,270.000000,top
"R31","RES_10K_0603_SMD","RES_SMD_0603",169.468800,-107.391200,90.000000,top
"R32","RES_0R_0402_SMD","RES_SMD_0402",173.001800,-111.709200,180.000000,top
"R33","RES_10K_0603_SMD","RES_SMD_0603",170.992800,-105.003600,90.000000,top
"R35","RES_73K2_0603_SMD","RES_SMD_0603",168.732100,-105.130600,0.000000,top
"R36","RES_73K2_0603_SMD","RES_SMD_0603",167.919400,-93.649800,90.000000,top
"R37","RES_10K_0603_SMD","RES_SMD_0603",166.370000,-91.973400,90.000000,top
"R39","RES_31K6_0603_SMD","RES_SMD_0603",172.516900,-88.061800,180.000000,top
"R40","RES_10K_0603_SMD","RES_SMD_0603",169.468700,-87.706200,180.000000,top
"U1","LTC4421IUHE","QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.6mm",132.673400,-101.777800,270.000000,top
"U2","TPS568215RNN","Texas_RNN0018A",174.955200,-108.889800,90.000000,top
"U3","TPS82130","Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias",170.789600,-91.592400,90.000000,top
