"Source:","/Users/chrisarcadia/Dropbox (Brown)/Ventilator/repositories/pufferfish-electronics/designs/Pufferfish-Controller-1/Pufferfish-Controller-1.sch"
"Date:","Thursday, July 02, 2020 at 11:10:22 AM"
"Tool:","Eeschema (5.1.5-0-10_14)"
"Component Count:","559"
"Ref","Value","Part","Footprint","Description","Vendor","Manufacturer","Datasheet","Tolerance","Resistance","Capacitance","Pressure"
"C31","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","10uF",""
"C32","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","10uF",""
"C33","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","10uF",""
"C34","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","10uF",""
"C35","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C36","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C37","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C38","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C39","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C40","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C41","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C42","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C43","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","100nF",""
"C44","CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Pufferfish:CAP_SMD_0603","Unpolarized capacitor, small symbol, 0603, SMD, SMT","","","~","?%","","1uF",""
"C45","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C46","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C47","CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Pufferfish:CAP_POLAR_SMD_0805","Polarized capacitor, small symbol, 0805, SMD, SMT","","","~","?%","","47uF",""
"C48","UCQ1E101MCL1GS","Pufferfish:UCQ1E101MCL1GS","Pufferfish:CAPAE660X820N","Aluminum Electrolytic Capacitors - SMD 25V 100uf 20% Audio-SMT","","","https://componentsearchengine.com/Datasheets/1/UCQ1E101MCL1GS.pdf","20%","","100uF",""
"C49","UCQ1E101MCL1GS","Pufferfish:UCQ1E101MCL1GS","Pufferfish:CAPAE660X820N","Aluminum Electrolytic Capacitors - SMD 25V 100uf 20% Audio-SMT","","","https://componentsearchengine.com/Datasheets/1/UCQ1E101MCL1GS.pdf","20%","","100uF",""
"C50","UCQ1E101MCL1GS","Pufferfish:UCQ1E101MCL1GS","Pufferfish:CAPAE660X820N","Aluminum Electrolytic Capacitors - SMD 25V 100uf 20% Audio-SMT","","","https://componentsearchengine.com/Datasheets/1/UCQ1E101MCL1GS.pdf","20%","","100uF",""
"C51","UCQ1E101MCL1GS","Pufferfish:UCQ1E101MCL1GS","Pufferfish:CAPAE660X820N","Aluminum Electrolytic Capacitors - SMD 25V 100uf 20% Audio-SMT","","","https://componentsearchengine.com/Datasheets/1/UCQ1E101MCL1GS.pdf","20%","","100uF",""
"C52","UCQ1E101MCL1GS","Pufferfish:UCQ1E101MCL1GS","Pufferfish:CAPAE660X820N","Aluminum Electrolytic Capacitors - SMD 25V 100uf 20% Audio-SMT","","","https://componentsearchengine.com/Datasheets/1/UCQ1E101MCL1GS.pdf","20%","","100uF",""
"C53","UCQ1E101MCL1GS","Pufferfish:UCQ1E101MCL1GS","Pufferfish:CAPAE660X820N","Aluminum Electrolytic Capacitors - SMD 25V 100uf 20% Audio-SMT","","","https://componentsearchengine.com/Datasheets/1/UCQ1E101MCL1GS.pdf","20%","","100uF",""
"CONN1","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN2","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN3","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
